TreeType;Dataset;Size;Time(s);Rotations
BST;A;10000;0,1073;0
BST;B;10000;0,1055;0
BST;C;10000;0,0010;0
BST;D;10000;0,0007;0
BST;A;25000;0,7470;0
BST;B;25000;0,6519;0
BST;C;25000;0,0030;0
BST;D;25000;0,0005;0
BST;A;50000;2,6790;0
BST;B;50000;2,5979;0
BST;C;50000;0,0064;0
BST;D;50000;0,0008;0
BST;A;75000;6,2252;0
BST;B;75000;5,6396;0
BST;C;75000;0,0092;0
BST;D;75000;0,0013;0
BST;A;100000;9,2186;0
BST;B;100000;8,9364;0
BST;C;100000;0,0147;0
BST;D;100000;0,0037;0
AVL;A;100000;0,0141;99983
AVL;B;100000;0,0113;99983
AVL;C;100000;0,0369;70088
AVL;D;100000;0,0135;6539
AVL;A;250000;0,0180;249982
AVL;B;250000;0,0180;249982
AVL;C;250000;0,0710;174967
AVL;D;250000;0,0116;16604
AVL;A;500000;0,0462;499981
AVL;B;500000;0,0443;499981
AVL;C;500000;0,1831;349060
AVL;D;500000;0,0262;33545
AVL;A;750000;0,0705;749980
AVL;B;750000;0,0660;749980
AVL;C;750000;0,3794;522945
AVL;D;750000;0,0403;49819
AVL;A;1000000;0,0910;999980
AVL;B;1000000;0,0891;999980
AVL;C;1000000;0,7032;696737
AVL;D;1000000;0,0623;66746
AVL;A;2000000;0,1948;1999979
AVL;B;2000000;0,1847;1999979
AVL;C;2000000;2,3637;1394593
AVL;D;2000000;0,2532;133284
AVL;A;3000000;0,3283;2999978
AVL;B;3000000;0,3069;2999978
AVL;C;3000000;2,8508;2098928
AVL;D;3000000;0,2409;199114
AVL;A;4000000;0,4264;3999978
AVL;B;4000000;0,4604;3999978
AVL;C;4000000;3,4016;2792959
AVL;D;4000000;0,3673;265396
AVL;A;5000000;0,5820;4999977
AVL;B;5000000;0,5892;4999977
AVL;C;5000000;5,2370;3492168
AVL;D;5000000;0,6042;331636
VP;A;100000;0,0194;99984
VP;B;100000;0,0307;99978
VP;C;100000;0,0244;118534
VP;D;100000;0,0185;11332
VP;A;250000;0,0417;249983
VP;B;250000;0,0470;249976
VP;C;250000;0,1157;296504
VP;D;250000;0,0184;28374
VP;A;500000;0,0697;499982
VP;B;500000;0,1698;499975
VP;C;500000;0,1684;594472
VP;D;500000;0,0345;56646
VP;A;750000;0,1092;749981
VP;B;750000;0,1597;749971
VP;C;750000;0,4223;891014
VP;D;750000;0,0578;84706
VP;A;1000000;0,1430;999981
VP;B;1000000;0,2182;999974
VP;C;1000000;0,6380;1186696
VP;D;1000000;0,0658;112805
VP;A;2000000;0,3289;1999980
VP;B;2000000;0,4390;1999973
VP;C;2000000;2,0518;2372076
VP;D;2000000;0,1595;226068
VP;A;3000000;0,4813;2999979
VP;B;3000000;0,6282;2999969
VP;C;3000000;2,4422;3560178
VP;D;3000000;0,3136;338122
VP;A;4000000;0,6682;3999979
VP;B;4000000;0,9104;3999972
VP;C;4000000;3,3346;4745821
VP;D;4000000;0,3523;451473
VP;A;5000000;1,8741;4999978
VP;B;5000000;1,5922;4999970
VP;C;5000000;4,9353;5931821
VP;D;5000000;0,4943;565027
TREAP;A;100000;0,0114;99992
TREAP;B;100000;0,0099;99991
TREAP;C;100000;0,0853;199673
TREAP;D;100000;0,0052;19047
TREAP;A;250000;0,0192;249992
TREAP;B;250000;0,0174;249984
TREAP;C;250000;0,0818;499907
TREAP;D;250000;0,0103;48084
TREAP;A;500000;0,0259;499990
TREAP;B;500000;0,0235;499984
TREAP;C;500000;0,2309;1000613
TREAP;D;500000;0,0177;95493
TREAP;A;750000;0,0335;749983
TREAP;B;750000;0,0343;749987
TREAP;C;750000;0,4334;1502491
TREAP;D;750000;0,0265;142298
TREAP;A;1000000;0,0459;999992
TREAP;B;1000000;0,0454;999981
TREAP;C;1000000;0,5128;1998434
TREAP;D;1000000;0,0406;190152
TREAP;A;2000000;0,0865;1999985
TREAP;B;2000000;0,1078;1999978
TREAP;C;2000000;1,6923;3998301
TREAP;D;2000000;0,3380;380739
TREAP;A;3000000;0,2290;2999987
TREAP;B;3000000;0,1677;2999986
TREAP;C;3000000;3,8610;6001544
TREAP;D;3000000;0,1905;570846
TREAP;A;4000000;0,2832;3999981
TREAP;B;4000000;0,2335;3999986
TREAP;C;4000000;4,5931;8001749
TREAP;D;4000000;0,2297;761305
TREAP;A;5000000;0,3271;4999983
TREAP;B;5000000;0,2723;4999981
TREAP;C;5000000;5,4588;10003646
TREAP;D;5000000;0,3759;948515
